Material,Geometry,H_nm,Temperature_K,Energy_level,Frequency_THz,Kappa_unexcited_W_mK,Kappa_excited_W_mK,Ratio,Relative_change_percent
Ge,Film,100.0,300,E2,6.4,20.723380668707065,19.732685115412583,0.9521943080073579,-4.780569199264207
Ge,Film,100.0,300,E2,6.6,20.723380668707065,20.26172055635656,0.9777227412973394,-2.227725870266062
Ge,Film,100.0,300,E2,6.8,20.723380668707065,20.544792727320768,0.9913822969214685,-0.8617703078531491
Ge,Film,100.0,300,E2,7.0,20.723380668707065,20.695944522873223,0.9986760776983037,-0.1323922301696312
Ge,Film,100.0,300,E2,7.2,20.723380668707065,20.677250599035677,0.9977740084782091,-0.22259915217909265
Ge,Film,100.0,300,E2,7.4,20.723380668707065,20.643951056078897,0.9961671498536864,-0.38328501463136266
Ge,Film,100.0,300,E2,7.6,20.723380668707065,20.654068338632587,0.9966553560356519,-0.3344643964348082
Ge,Film,100.0,300,E3,0.6,20.723380668707065,21.72351567581559,1.04826118976904,4.8261189769039925
Ge,Film,100.0,300,E3,0.8,20.723380668707065,21.765926471651028,1.0503077089404742,5.0307708940474205
Ge,Film,100.0,300,E3,1.0,20.723380668707065,21.381063113024062,1.0317362526332452,3.17362526332452
Ge,Film,100.0,300,E3,1.2,20.723380668707065,21.185074692263814,1.0222788950768984,2.2278895076898397
Ge,Film,100.0,300,E3,1.4,20.723380668707065,21.0065753369048,1.013665466688327,1.366546668832691
Ge,Film,100.0,300,E3,1.6,20.723380668707065,20.53050534317399,0.9906928638422241,-0.9307136157775897
Ge,Film,100.0,300,E3,1.8,20.723380668707065,20.30532794200644,0.9798270015214313,-2.0172998478568682
Ge,Film,100.0,300,E3,2.0,20.723380668707065,20.31059890340563,0.9800813500509234,-1.991864994907655
Ge,Film,100.0,300,E3,2.2,20.723380668707065,19.985028707652106,0.9643710660505361,-3.562893394946387
Ge,Film,100.0,300,E3,2.4,20.723380668707065,19.981820781621156,0.9642162686223447,-3.5783731377655337
Ge,Film,100.0,300,E3,2.6,20.723380668707065,19.939599615884244,0.9621788999896935,-3.7821100010306474
Ge,Film,100.0,300,E3,2.8,20.723380668707065,19.942425143066256,0.962315244885692,-3.768475511430802
Ge,Film,100.0,300,E3,3.0,20.723380668707065,19.885291433530885,0.9595582762979535,-4.044172370204646
Ge,Film,100.0,300,E3,3.2,20.723380668707065,19.93550140428649,0.9619811421207788,-3.8018857879221213
Ge,Film,100.0,300,E3,3.4,20.723380668707065,20.025080598797253,0.9663037570426785,-3.3696242957321543
Ge,Film,100.0,300,E3,3.6,20.723380668707065,19.769418486140665,0.953966864875145,-4.603313512485496
Ge,Film,100.0,300,E3,3.8,20.723380668707065,19.744950719511493,0.9527861807473801,-4.7213819252619915
Ge,Film,100.0,300,E3,4.0,20.723380668707065,19.347085984170292,0.9335873472316696,-6.641265276833042
Ge,Film,100.0,300,E3,4.2,20.723380668707065,19.09118474759912,0.9212389162173423,-7.8761083782657675
Ge,Film,100.0,300,E3,4.4,20.723380668707065,18.897560634273994,0.9118956475479836,-8.810435245201642
Ge,Film,100.0,300,E3,4.6,20.723380668707065,18.901434391375055,0.9120825744380981,-8.791742556190185
Ge,Film,100.0,300,E3,4.8,20.723380668707065,18.99984768057627,0.9168314757286015,-8.316852427139853
Ge,Film,100.0,300,E3,5.0,20.723380668707065,18.84564108968124,0.9093902867951816,-9.060971320481837
Ge,Film,100.0,300,E3,5.2,20.723380668707065,18.467115106140653,0.8911246384633834,-10.887536153661658
Ge,Film,100.0,300,E3,5.4,20.723380668707065,17.68616690577927,0.8534402368280538,-14.655976317194618
Ge,Film,100.0,300,E3,5.6,20.723380668707065,16.740509544002972,0.8078078481317312,-19.219215186826876
Ge,Film,100.0,300,E3,5.8,20.723380668707065,16.590912222302755,0.8005890779855015,-19.94109220144985
Ge,Film,100.0,300,E3,6.0,20.723380668707065,16.957805607177992,0.8182933990487755,-18.17066009512245
Ge,Film,100.0,300,E3,6.2,20.723380668707065,17.75243808747634,0.8566381311656867,-14.336186883431335
Ge,Film,100.0,300,E3,6.4,20.723380668707065,18.970210942958687,0.9154013645854743,-8.459863541452572
Ge,Film,100.0,300,E3,6.6,20.723380668707065,19.733914931736983,0.9522536523944568,-4.774634760554319
Ge,Film,100.0,300,E3,6.8,20.723380668707065,20.14241015492585,0.9719654566468251,-2.80345433531749
Ge,Film,100.0,300,E3,7.0,20.723380668707065,20.35217731068821,0.9820877025832284,-1.7912297416771583
Ge,Film,100.0,300,E3,7.2,20.723380668707065,20.279710419170225,0.9785908362815149,-2.1409163718485114
Ge,Film,100.0,300,E3,7.4,20.723380668707065,20.11590514223572,0.9706864658724023,-2.931353412759774
Ge,Film,100.0,300,E3,7.6,20.723380668707065,20.082558053352862,0.9690773129346668,-3.0922687065333188
Si,Bulk,,300,E1,0.8,145.46,141.59,0.9733947,-2.6605300000000054
Si,Bulk,,300,E2,0.8,145.46,137.96,0.9484394,-5.156059999999996
Si,Bulk,,300,E3,0.8,145.46,131.27,0.9024474,-9.75526
Si,Bulk,,300,E1,1.2,145.46,143.33,0.9853568,-1.4643199999999967
Si,Bulk,,300,E2,1.2,145.46,141.33,0.9716073,-2.839270000000005
Si,Bulk,,300,E3,1.2,145.46,137.69,0.9465833,-5.341669999999999
Si,Bulk,,300,E1,1.6,145.46,144.04,0.9902379,-0.9762099999999996
Si,Bulk,,300,E2,1.6,145.46,142.55,0.9799945,-2.000550000000001
Si,Bulk,,300,E3,1.6,145.46,139.69,0.9603327,-3.966729999999996
Si,Bulk,,300,E1,2.0,145.46,143.88,0.9891379,-1.0862099999999986
Si,Bulk,,300,E2,2.0,145.46,142.36,0.9786883,-2.1311700000000044
Si,Bulk,,300,E3,2.0,145.46,139.63,0.9599203,-4.007970000000006
Si,Bulk,,300,E1,2.4,145.46,143.54,0.9868005,-1.319950000000003
Si,Bulk,,300,E2,2.4,145.46,141.77,0.9746322,-2.536780000000005
Si,Bulk,,300,E3,2.4,145.46,138.72,0.9536642,-4.633580000000004
Si,Bulk,,300,E1,2.8,145.46,143.87,0.9890692,-1.0930800000000018
