Material,H_nm,Size_Lx_A,Frequency_THz,Energy_level,Kappa_unexcited_W_mK,Kappa_excited_W_mK,Relative_change_percent,Bulk_reference_change_percent,Average_MFP_nm,Maximum_MFP_nm
Si,500.0,5000,10.0,E3,69.9941383226529,55.67464257930465,-20.4581356189278,-29.430769999999995,51.533727,10114.768064
Si,1000.0,10000,1.2,E3,81.71473510473587,86.88110439780839,6.322445133611043,-5.341669999999999,51.533727,10114.768064
Si,1000.0,10000,10.0,E3,81.71473510473587,63.41804628272494,-22.3909296145421,-29.430769999999995,51.533727,10114.768064
Si,2000.0,20000,1.2,E3,92.99641250617448,96.36374123547556,3.62092325774126,-5.341669999999999,51.533727,10114.768064
Si,2000.0,20000,10.0,E3,92.99641250617448,70.19709640503756,-24.516339379890773,-29.430769999999995,51.533727,10114.768064
Si,5000.0,50000,1.2,E3,107.11042609230634,106.34587790895417,-0.7137943627385956,-5.341669999999999,51.533727,10114.768064
Si,5000.0,50000,10.0,E3,107.11042609230634,78.08600889341044,-27.097658237194434,-29.430769999999995,51.533727,10114.768064
Si,10000.0,100000,1.2,E3,116.33008951555568,112.90726962026304,-2.942334102506594,-5.341669999999999,51.533727,10114.768064
Si,10000.0,100000,10.0,E3,116.33008951555568,83.41657410860338,-28.293209043349954,-29.430769999999995,51.533727,10114.768064
Si,20000.0,200000,1.2,E3,123.69286273295442,118.30651183547518,-4.354617379264692,-5.341669999999999,51.533727,10114.768064
Si,20000.0,200000,10.0,E3,123.69286273295442,87.00950418898844,-29.65681101840385,-29.430769999999995,51.533727,10114.768064
SiC,1.0,10,2.0,E3,3.026034165692008,3.329557504104018,10.03040024640962,-4.480390000000001,389.098779,11354.696508
SiC,1.0,10,15.0,E3,3.026034165692008,3.1472630175127883,4.006195739467389,-25.24263,389.098779,11354.696508
SiC,2.0,20,2.0,E3,5.701500367112766,6.442276434634082,12.992651404431,-4.480390000000001,389.098779,11354.696508
SiC,2.0,20,15.0,E3,5.701500367112766,5.919773300946001,3.828342011381247,-25.24263,389.098779,11354.696508
SiC,5.0,50,2.0,E3,12.717867560573929,14.88173458288228,17.01438556426278,-4.480390000000001,389.098779,11354.696508
SiC,5.0,50,15.0,E3,12.717867560573929,12.621486280817509,-0.7578415115377268,-25.24263,389.098779,11354.696508
SiC,10.0,100,2.0,E3,23.085092600568135,27.466713597748846,18.98030505224344,-4.480390000000001,389.098779,11354.696508
SiC,10.0,100,15.0,E3,23.085092600568135,22.45291495789279,-2.738466999520661,-25.24263,389.098779,11354.696508
SiC,20.0,200,2.0,E3,40.58318244943294,48.85868899136018,20.39146770275744,-4.480390000000001,389.098779,11354.696508
SiC,20.0,200,15.0,E3,40.58318244943294,37.93118351829395,-6.5347239202923735,-25.24263,389.098779,11354.696508
SiC,50.0,500,2.0,E3,78.47497162747905,94.12731328064096,19.945648056381128,-4.480390000000001,389.098779,11354.696508
SiC,50.0,500,15.0,E3,78.47497162747905,68.31167481046518,-12.95100413066611,-25.24263,389.098779,11354.696508
SiC,100.0,1000,2.0,E3,119.87601563103668,144.6863968911566,20.696701612508672,-4.480390000000001,389.098779,11354.696508
SiC,100.0,1000,15.0,E3,119.87601563103668,97.89180753545035,-18.33912144965758,-25.24263,389.098779,11354.696508
SiC,200.0,2000,2.0,E3,169.33102033434335,203.68286445853633,20.28679922696115,-4.480390000000001,389.098779,11354.696508
SiC,200.0,2000,15.0,E3,169.33102033434335,130.47874941937263,-22.94456788735878,-25.24263,389.098779,11354.696508
SiC,500.0,5000,2.0,E3,237.6383688685415,283.1472340631625,19.150470276033538,-4.480390000000001,389.098779,11354.696508
SiC,500.0,5000,15.0,E3,237.6383688685415,173.79315992095,-26.86654063970194,-25.24263,389.098779,11354.696508
SiC,1000.0,10000,2.0,E3,284.93805157968376,322.4882613662032,13.178376695686222,-4.480390000000001,389.098779,11354.696508
SiC,1000.0,10000,15.0,E3,284.93805157968376,203.72107727809336,-28.503379542088936,-25.24263,389.098779,11354.696508
SiC,2000.0,20000,2.0,E3,325.6686056174204,349.98205822229943,7.4657035358947965,-4.480390000000001,389.098779,11354.696508
SiC,2000.0,20000,15.0,E3,325.6686056174204,230.42738867157576,-29.24482596818969,-25.24263,389.098779,11354.696508
SiC,5000.0,50000,2.0,E3,369.6742539467768,378.00433256896224,2.2533564437475784,-4.480390000000001,389.098779,11354.696508
SiC,5000.0,50000,15.0,E3,369.6742539467768,263.6641939663909,-28.676614302614787,-25.24263,389.098779,11354.696508
SiC,10000.0,100000,2.0,E3,404.4989785051613,400.8690080985175,-0.8973991529121927,-4.480390000000001,389.098779,11354.696508
SiC,10000.0,100000,15.0,E3,404.4989785051613,289.73064764873567,-28.372959378180784,-25.24263,389.098779,11354.696508
SiC,20000.0,200000,2.0,E3,431.7664617607767,420.6282027210986,-2.5796952811608875,-4.480390000000001,389.098779,11354.696508
SiC,20000.0,200000,15.0,E3,431.7664617607767,313.24556246867337,-27.450232889503745,-25.24263,389.098779,11354.696508
