Normalized_target_frequency,Knudsen_number,Relative_change_percent
0.12355212355212356,0.010392891699183733,1.0917851113279076
0.1274131274131274,0.010392891699183733,1.0921389892572553
0.1312741312741313,0.010392891699183733,1.0882096391294505
0.13513513513513514,0.010392891699183733,1.080016977993042
0.138996138996139,0.010392891699183733,1.0675932581831016
0.14285714285714285,0.010392891699183733,1.0509817555398804
0.14671814671814673,0.010392891699183733,1.0302354936852838
0.15057915057915058,0.010392891699183733,1.0054160186680852
0.15444015444015444,0.010392891699183733,0.9765922353484409
0.15830115830115832,0.010392891699183733,0.9438393141068072
0.16216216216216217,0.010392891699183733,0.9072376738866109
0.16602316602316602,0.010392891699183733,0.8668720452534158
0.16988416988416988,0.010392891699183733,0.8228306151017171
0.17374517374517376,0.010392891699183733,0.7752042528758643
0.1776061776061776,0.010392891699183733,0.7240858166956405
0.18146718146718147,0.010392891699183733,0.6695695365814675
0.18532818532818535,0.010392891699183733,0.6117504710434815
0.1891891891891892,0.010392891699183733,0.5507240326118202
0.19305019305019305,0.010392891699183733,0.48658557741728703
0.1969111969111969,0.010392891699183733,0.4194300536550402
0.2007722007722008,0.010392891699183733,0.3493517036510699
0.20463320463320464,0.010392891699183733,0.2764438142739159
0.2084942084942085,0.010392891699183733,0.20079851056622283
0.21235521235521235,0.010392891699183733,0.12250658768752788
0.21621621621621623,0.010392891699183733,0.04165737653843138
0.22007722007722008,0.010392891699183733,-0.041661361241629655
0.22393822393822393,0.010392891699183733,-0.12736351286356176
0.22779922779922782,0.010392891699183733,-0.2153646721656965
0.23166023166023167,0.010392891699183733,-0.30558217882019983
0.23552123552123552,0.010392891699183733,-0.39793514185909884
0.23938223938223938,0.010392891699183733,-0.4923444500746153
0.24324324324324326,0.010392891699183733,-0.5887327715330497
0.2471042471042471,0.010392891699183733,-0.6870245441493555
0.25096525096525096,0.010392891699183733,-0.787145959002618
0.2548262548262548,0.010392891699183733,-0.8890249378314733
0.25868725868725867,0.010392891699183733,-0.9925911059328891
0.2625482625482626,0.010392891699183733,-1.0977757614968282
0.26640926640926643,0.010392891699183733,-1.2045118422416414
0.2702702702702703,0.010392891699183733,-1.3127338900692525
0.27413127413127414,0.010392891699183733,-1.4223780143329467
0.277992277992278,0.010392891699183733,-1.5333818542024482
0.28185328185328185,0.010392891699183733,-1.6456845405189058
0.2857142857142857,0.010392891699183733,-1.7592266574540938
0.2895752895752896,0.010392891699183733,-1.873950204222726
0.29343629343629346,0.010392891699183733,-1.9897985570417438
0.2972972972972973,0.010392891699183733,-2.106716431484793
0.30115830115830117,0.010392891699183733,-2.2246498453424315
0.305019305019305,0.010392891699183733,-2.343546082067802
0.3088803088803089,0.010392891699183733,-2.4633536548619577
0.3127413127413127,0.010392891699183733,-2.5840222714330343
0.31660231660231664,0.010392891699183733,-2.705502799446772
0.3204633204633205,0.010392891699183733,-2.8277472326729995
0.32432432432432434,0.010392891699183733,-2.950708657822444
0.3281853281853282,0.010392891699183733,-3.074341222060263
0.33204633204633205,0.010392891699183733,-3.1986001011767113
0.3359073359073359,0.010392891699183733,-3.3234414683907594
0.33976833976833976,0.010392891699183733,-3.4488224637593783
0.34362934362934366,0.010392891699183733,-3.5747011641628372
0.3474903474903475,0.010392891699183733,-3.7010365538351686
0.35135135135135137,0.010392891699183733,-3.827788495408059
0.3552123552123552,0.010392891699183733,-3.954917701436335
0.3590733590733591,0.010392891699183733,-4.082385706373418
0.36293436293436293,0.010392891699183733,-4.210154838965561
0.3667953667953668,0.010392891699183733,-4.338188195034801
0.3706563706563707,0.010392891699183733,-4.466449610621055
0.37451737451737455,0.010392891699183733,-4.594903635455397
0.3783783783783784,0.010392891699183733,-4.723515506737296
0.38223938223938225,0.010392891699183733,-4.8522511231905465
0.3861003861003861,0.010392891699183733,-4.981077019373152
0.38996138996138996,0.010392891699183733,-5.10996034021837
0.3938223938223938,0.010392891699183733,-5.238868815785366
0.39768339768339767,0.010392891699183733,-5.367770736199104
0.4015444015444016,0.010392891699183733,-5.4966349267606125
