Material,Size_Lx_A,H_nm,Average_MFP_nm,Knudsen_number,Frequency_THz,Debye_frequency_THz,Normalized_frequency,Kappa_unexcited_W_mK,Kappa_excited_W_mK,Ratio_raw,Ratio_plotted,Relative_change_plotted_percent,Was_overridden_in_plot
Ge,50,5.0,37.734179,7.546835799999999,5.8,7.5,0.7733333333333333,3.517543043506717,3.4211534952108806,0.9725974786651811,0.9725974786651811,-2.740252133481891,False
Ge,50,5.0,37.734179,7.546835799999999,6.0,7.5,0.8,3.517543043506717,3.449121867809086,0.9805485889294419,0.9805485889294419,-1.9451411070558144,False
Ge,50,5.0,37.734179,7.546835799999999,6.2,7.5,0.8266666666666667,3.517543043506717,3.479127460601827,0.9890788591838828,0.9890788591838828,-1.092114081611717,False
Ge,50,5.0,37.734179,7.546835799999999,6.4,7.5,0.8533333333333334,3.517543043506717,3.5277421361941506,1.00289949335695,1.00289949335695,0.2899493356949945,False
Ge,50,5.0,37.734179,7.546835799999999,6.6,7.5,0.88,3.517543043506717,3.567582652407034,1.0142257275266862,1.0142257275266862,1.422572752668616,False
Ge,50,5.0,37.734179,7.546835799999999,6.8,7.5,0.9066666666666666,3.517543043506717,3.593408479731496,1.0215677350032217,1.0215677350032217,2.1567735003221733,False
Ge,50,5.0,37.734179,7.546835799999999,7.0,7.5,0.9333333333333333,3.517543043506717,3.616788921211002,1.0282145453450782,1.0282145453450782,2.821454534507817,False
Ge,50,5.0,37.734179,7.546835799999999,7.2,7.5,0.9600000000000001,3.517543043506717,3.608888043965084,1.025968410145538,1.025968410145538,2.596841014553797,False
Ge,50,5.0,37.734179,7.546835799999999,7.4,7.5,0.9866666666666667,3.517543043506717,3.5904420873632277,1.020724421266452,1.020724421266452,2.072442126645191,False
Ge,100,10.0,37.734179,3.7734178999999997,0.4,7.5,0.05333333333333334,5.915075123229841,6.18396679790601,1.045458708312963,1.045458708312963,4.545870831296295,False
Ge,100,10.0,37.734179,3.7734178999999997,0.6,7.5,0.08,5.915075123229841,6.107519823300016,1.0325346163930194,1.0325346163930194,3.2534616393019355,False
Ge,100,10.0,37.734179,3.7734178999999997,0.8,7.5,0.10666666666666667,5.915075123229841,6.189811990645128,1.0464468940278262,1.0464468940278262,4.64468940278262,False
Ge,100,10.0,37.734179,3.7734178999999997,1.0,7.5,0.13333333333333333,5.915075123229841,6.114245473943115,1.0336716519340705,1.0336716519340705,3.3671651934070512,False
Ge,100,10.0,37.734179,3.7734178999999997,1.2,7.5,0.16,5.915075123229841,6.108223871197669,1.0326536424210893,1.0326536424210893,3.2653642421089257,False
